service_id,name,platform,service_type,category,rate_twd,rate_usd,min,max,refill,cancel,dripfeed,currency
30660,💙🇮🇶 IRAQ Mix Instagram Like HQ 1K (Mobil App),Instagram,Likes/Reactions,💙🇮🇶⬆️ IRAQ -Target (Real) Like,25.312,0.791,50,1000,No,Yes,No,USD
30661,💙🇮🇶 IRAQ Mix Instagram Like HQ 5K (Mobil App),Instagram,Likes/Reactions,💙🇮🇶⬆️ IRAQ -Target (Real) Like,28.928,0.904,20,5000,No,Yes,No,USD
30662,💙🇮🇶 IRAQ Mix Instagram Like HQ 100K (Mobil App),Instagram,Likes/Reactions,💙🇮🇶⬆️ IRAQ -Target (Real) Like,32.544,1.017,20,100000,No,Yes,No,USD
30663,💙🇮🇶 IRAQ Mix Instagram Like HQ 100k (Mobil App) (Mobil App)♻️( HQ -365 Days Refill),Instagram,Likes/Reactions,💙🇮🇶⬆️ IRAQ -Target (Real) Like,36.16,1.13,20,1000000,Yes,Yes,No,USD
30655,App Real IRaQ 🇮🇶 [Mix] İnstagram Followers 1000,Other,Followers/Subscribers,ᴺᴱᵂ🏷️🇮🇶-IraQ[Real][Mix]İnstagram Followers,115.712,3.616,50,1000,No,Yes,No,USD
30656,App Real  IRaQ 🇮🇶 [Mix] İnstagram Followers 5000,Other,Followers/Subscribers,ᴺᴱᵂ🏷️🇮🇶-IraQ[Real][Mix]İnstagram Followers,122.944,3.842,50,5000,No,Yes,No,USD
30657,App Real IRaQ 🇮🇶 [Mix] İnstagram Followers 100.000,Other,Followers/Subscribers,ᴺᴱᵂ🏷️🇮🇶-IraQ[Real][Mix]İnstagram Followers,137.408,4.294,50,100000,No,Yes,No,USD
30658,App Real IRaQ [Mix] [Mix] İnstagram Followers ♻️30 Days Refill,Other,Followers/Subscribers,ᴺᴱᵂ🏷️🇮🇶-IraQ[Real][Mix]İnstagram Followers,151.872,4.746,20,100000,Yes,Yes,No,USD
30659,App Real IRaQ [Mix]İnstagram Followers [Women] ♻️90 Days Refill,Other,Followers/Subscribers,ᴺᴱᵂ🏷️🇮🇶-IraQ[Real][Mix]İnstagram Followers,162.72,5.085,20,100000,Yes,Yes,No,USD
30664,🇮🇶 💙%100  Instagram (Iraq)  Like HQ 1K,Instagram,Likes/Reactions,❤️🇮🇶⬆️ Iraq - İnstagram Target (Real) Like |1H |10.000 Speed,27.12,0.8475,50,1000,No,Yes,No,USD
