service_id,name,platform,service_type,category,rate_twd,rate_usd,min,max,refill,cancel,dripfeed,currency
50,Instagram Real + Bot Followers [ 50K / Day ] | (High Drop) | ⛔ No Refill,Instagram,Followers/Subscribers,Instagram Followers [ Cheapest on the Market ],6.72,0.21,100,1000000,No,Yes,No,USD
49,Instagram Real Followers with 0-3 Posts [ 50K / Day ] | (All Flag Type) | ⛔ No Refill,Instagram,Followers/Subscribers,Instagram Followers [ Cheapest on the Market ],8.96,0.28,100,1000000,No,Yes,No,USD
48,Instagram Real Followers with 6 Posts [ 100K / Day ] | (All Flag Type) | ⛔ No Refill,Instagram,Followers/Subscribers,Instagram Followers [ Cheapest on the Market ],9.6,0.3,10,1000000,No,Yes,No,USD
68,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ♻️ Lifetime Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),18.88,0.59,50,1000000,Yes,Yes,No,USD
67,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ♻️ 365 Days Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),17.28,0.54,50,1000000,Yes,Yes,No,USD
66,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ♻️ 120 Days Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),16.48,0.515,50,1000000,Yes,Yes,No,USD
65,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ♻️ 90 Days Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),15.36,0.48,50,1000000,Yes,Yes,No,USD
64,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ♻️ 60 Days Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),14.72,0.46,50,1000000,Yes,Yes,No,USD
63,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ♻️ 30 Days Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),13.12,0.41,50,1000000,Yes,Yes,No,USD
62,Instagram Followers | Real Accounts with Posts | (All Flag Type) | ⛔ No Refill,Instagram,Followers/Subscribers,Instagram Followers ( Real Accounts with 0-1 Posts ),11.2,0.35,50,1000000,No,Yes,No,USD
12,Instagram Followers | Old Accounts 15+ Posts | (Flag OFF) | ⛔ No Refill,Instagram,Followers/Subscribers,Instagram Followers ( Old Accounts with 15+ Posts ) [ Stable %100 ] | [ Flag OFF ONLY ] - Active,105.6,3.3,50,5000000,No,Yes,No,USD
