service_id,name,platform,service_type,category,rate_twd,rate_usd,min,max,refill,cancel,dripfeed,currency
343,*限量8折! Youtube 影片分享🛡,YouTube,Shares,🔥😍❤️限時/限量快閃促銷活動(每日更新!),285.0,8.90625,100,15000,No,No,No,TWD
363,*限量75折! - Spotify 粉絲數*促銷 *穩定永久保固,Spotify,Followers/Subscribers,🔥😍❤️限時/限量快閃促銷活動(每日更新!),631.0,19.71875,500,9999999,No,No,No,TWD
338,*限量5折! TikTok增加影片觀看🔥⭐️,TikTok,Views/Plays,🔥😍❤️限時/限量快閃促銷活動(每日更新!),13.0,0.40625,50,2147483647,No,Yes,No,TWD
776,•臉書 粉絲團讚*保固🔥🛡,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,980.0,30.625,100,100000,Yes,No,No,TWD
777,•臉書 粉絲團讚*30天保固*快速啟動*New🛡⚡️,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1102.0,34.4375,100,100000,Yes,No,No,TWD
192,•臉書 🇹🇼台灣粉絲團讚,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,8600.0,268.75,100,100000,Yes,No,No,TWD
10,•臉書 🌏亞洲粉絲團讚*保固方案*促銷🛡⭐️🔥🎊,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1680.0,52.5,100,1000000,Yes,No,No,TWD
7,•臉書 粉絲團讚*促銷🎊,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,950.0,29.6875,100,100000,No,No,No,TWD
545,•臉書 粉絲團讚保固方案🛡 穩定提升🔥⭐️,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1358.0,42.4375,10,100000000,Yes,Yes,No,TWD
61,•臉書 粉絲團追蹤保固方案🛡 非常穩定🔥⭐️,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1380.0,43.125,100,100000000,Yes,Yes,No,TWD
547,•臉書 粉絲團追蹤*30天保固*促銷🔥⭐️🛡,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,959.0,29.96875,1000,1000000,No,Yes,No,TWD
775,•臉書 粉絲團追蹤*促銷,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,900.0,28.125,100,1000000,No,Yes,No,TWD
4,•臉書 🇹🇼台灣人留言(貼文/影片/直播留言)🔥⭐️,Facebook,Comments,臉書行銷推廣方案⭐️⭐️,20000.0,625.0,1,10000,No,No,No,TWD
12,•臉書 🇹🇼台灣人貼文留言+附照片,Facebook,Comments,臉書行銷推廣方案⭐️⭐️,35000.0,1093.75,1,1000,No,No,No,TWD
11,•臉書 🇹🇼台灣人分享貼文/粉絲團/社團*增加曝光🔥⭐️🛡,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,15000.0,468.75,3,10000,No,No,No,TWD
566,•臉書 🇹🇼台灣人私訊,Facebook,Other,臉書行銷推廣方案⭐️⭐️,20000.0,625.0,1,10000,No,No,No,TWD
6,•臉書 🇹🇼台灣人粉絲團推薦評論(可自訂評論)🔥⭐️,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,60000.0,1875.0,1,40,No,No,No,TWD
13,•臉書 🇹🇼台灣人加入社團(可當樁腳)🔥,Facebook,Other,臉書行銷推廣方案⭐️⭐️,20000.0,625.0,5,500,No,No,No,TWD
191,•臉書 🇹🇼台灣貼文讚🔥⭐️,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,4000.0,125.0,50,5000,Yes,No,No,TWD
483,•臉書 🇹🇼台灣貼文讚(服務器二)⭐️,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,5800.0,181.25,50,2000,Yes,No,No,TWD
641,•臉書 台灣+亞洲貼文讚*促銷*NEW(服務器四)🛡🔥,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,1000.0,31.25,100,600000,Yes,No,No,TWD
463,•臉書 亞洲貼文讚🛡⭐️🔥,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,780.0,24.375,100,100000,No,Yes,No,TWD
19,•臉書 亞洲貼文讚(服務器二)*快速啟動⚡️🔥💧,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,680.0,21.25,10,100000000,No,Yes,No,TWD
437,•臉書 亞洲貼文讚(服務器四)*快速啟動⚡️🛡⭐️🔥,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,800.0,25.0,50,500000,Yes,No,No,TWD
718,•臉書 亞洲貼文讚(服務器五)*快速啟動⚡️🛡⭐️🔥,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,863.0,26.96875,100,1000000,No,No,No,TWD
20,•臉書 全球高品質穩定貼文讚[服務器三]*快速啟動🔥⭐️⚡️🛡,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,1201.0,37.53125,50,500000,No,No,No,TWD
417,•臉書 全球貼文讚[服務器四]⭐️🛡,Facebook,Likes/Reactions,臉書行銷推廣方案⭐️⭐️,670.0,20.9375,100,50000,No,No,No,TWD
15,•臉書 全球分享貼文🔥⭐️,Facebook,Shares,臉書行銷推廣方案⭐️⭐️,4000.0,125.0,100,10000,No,No,No,TWD
546,•臉書 粉絲團/個人粉絲追蹤數*30日保固,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1380.0,43.125,50,500000,No,Yes,No,TWD
504,•臉書 粉絲團/個人粉絲追蹤數*亞洲粉*穩定*永久保固,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1500.0,46.875,10,1000000,No,Yes,No,TWD
462,•臉書 一般影片觀看人數*啟動較快,Facebook,Views/Plays,臉書行銷推廣方案⭐️⭐️,1586.0,49.5625,100,20000000,No,No,No,TWD
30,•臉書 影片觀看人數 促銷！⭐️🔥⚡️,Facebook,Views/Plays,臉書行銷推廣方案⭐️⭐️,500.0,15.625,500,10000000,No,No,No,TWD
411,•臉書 影片觀看人數 *穩定執行⭐️🔥,Facebook,Views/Plays,臉書行銷推廣方案⭐️⭐️,1098.0,34.3125,100,1000000000,No,No,No,TWD
16,•臉書 增加粉絲團打卡數⭐️,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,28000.0,875.0,10,3000,No,No,No,TWD
409,•臉書 社團加人數-🇹🇼台灣粉絲🔥,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,7500.0,234.375,100,3000,No,No,No,TWD
418,•臉書 社團加人數-亞洲粉絲🔥,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1480.0,46.25,100,2000000,No,No,No,TWD
536,•臉書 社團加人數-亞洲粉絲*較快啟動🔥,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1576.0,49.25,10,100000,No,No,No,TWD
672,•臉書 社團加人數-亞洲粉絲*較快啟動*促銷🎊,Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,691.0,21.59375,1000,100000,No,No,No,TWD
14,•臉書 社團加人數-全球粉絲[服務器二],Facebook,Followers/Subscribers,臉書行銷推廣方案⭐️⭐️,1980.0,61.875,10,100000,No,No,No,TWD
366,臉書增加直播觀看人數*自然提升【30分鐘】⚡️,Facebook,Live Stream Viewers,臉書直播觀看*人數自然提升*穩定*推薦👍⭐️🔥,1540.0,48.125,50,1000,No,No,No,TWD
